id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21302,Home in Fairhaven · ★4.90 · 4 bedrooms · 5 beds · 3.5 baths,81292,Laurel & Sue,,Surf Coast,-38.46329,144.09163,Entire home/apt,400,3,51,2023-01-18,0.46,3,151,1,
27561,Home in Jan Juc · 4 bedrooms · 6 beds · 2.5 baths,119103,Lynn,,Surf Coast,-38.34221,144.30398,Entire home/apt,500,5,2,2022-04-18,0.04,2,82,0,
70449,Home in Birregurra · ★4.83 · 2 bedrooms · 3 beds · 2 baths,357052,Craig,,Colac Otway,-38.32982,143.82842,Entire home/apt,277,1,53,2023-07-29,0.49,1,301,5,
84516,Home in Port Fairy · ★4.85 · 4 bedrooms · 4 beds · 2.5 baths,462049,David,,Moyne,-38.39149,142.22084,Entire home/apt,517,2,141,2023-11-19,1.19,1,295,16,
195168,Home in Lorne · ★4.82 · 3 bedrooms · 5 beds · 2 baths,899909,Tony,,Surf Coast,-38.54025,143.97139,Entire home/apt,850,2,28,2023-04-18,0.19,1,340,2,
291691,Place to stay in Barwon Heads · ★4.51 · 1 bedroom · 2 beds · 1 bath,1511087,Kim,,Greater Geelong,-38.27942,144.49073,Entire home/apt,79,2,79,2023-12-14,0.55,2,321,17,
372470,Home in Wensleydale · ★4.95 · 5 bedrooms · 11 beds · 2.5 baths,1875131,Charleson,,Surf Coast,-38.33816,144.02221,Entire home/apt,993,2,200,2023-12-15,2.00,1,0,34,
403682,Home in Aireys Inlet · ★4.75 · 3 bedrooms · 4 beds · 1.5 baths,246509,Fiona,,Surf Coast,-38.465721,144.099136,Entire home/apt,550,2,186,2023-04-13,1.28,1,144,2,
479888,Home in Lorne · ★4.68 · 3 bedrooms · 4 beds · 1 bath,2377195,Charles,,Surf Coast,-38.54855,143.95517,Entire home/apt,675,2,75,2023-05-22,0.78,5,39,5,
488344,Guest suite in Fairhaven · ★4.95 · 1 bedroom · 1 bed · 1 bath,2416415,Lise,,Surf Coast,-38.46413,144.09497,Entire home/apt,130,2,284,2023-12-02,3.08,2,280,50,
488599,Home in Geelong · ★4.83 · 3 bedrooms · 4 beds · 1.5 baths,2417695,Darren And Yolanda,,Greater Geelong,-38.15406,144.35685,Entire home/apt,429,1,278,2023-04-16,2.22,5,297,1,
